Date,Clicks,Impressions,CTR,Position
2026-02-26,0,94,0%,8.7
2026-02-27,1,95,1.05%,7.6
2026-02-28,1,59,1.69%,9.6
2026-03-01,2,80,2.5%,8
2026-03-02,0,84,0%,6.2
2026-03-03,0,100,0%,5.7
2026-03-04,1,70,1.43%,9.3
