Date,Clicks,Impressions,CTR,Position
2026-02-17,0,70,0%,9.4
2026-02-18,1,63,1.59%,10.4
2026-02-19,2,87,2.3%,7.4
2026-02-20,1,82,1.22%,8.5
2026-02-21,1,86,1.16%,6.6
2026-02-22,0,115,0%,5.7
2026-02-23,3,65,4.62%,7.2
