Date,Clicks,Impressions,CTR,Position
2026-02-22,0,115,0%,5.7
2026-02-23,3,65,4.62%,7.2
2026-02-24,2,72,2.78%,9.1
2026-02-25,2,60,3.33%,8
2026-02-26,0,94,0%,8.7
2026-02-27,1,95,1.05%,7.6
2026-02-28,1,59,1.69%,9.6
